HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3JJVG1YBEBXHQONPQN0PXSN3M4G5BU,A3HV3LXW29N30Q,Approved,"Mon Jun 23 19:58:52 PDT 2014","Mon Jun 23 20:20:08 PDT 2014",0.37,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",36TFCYNS44A0JKALWLTGBMHLAGUHXV,A30YUB0WTMKX73,Approved,"Mon Jun 23 19:58:56 PDT 2014","Mon Jun 23 20:20:26 PDT 2014",0.31,  None,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",33FBRBDW6OZJNBYX2L3NKW3C6FGC89,A2A8HRBDYBV6XJ,Approved,"Mon Jun 23 19:59:01 PDT 2014","Mon Jun 23 20:22:12 PDT 2014",0.28,  cool!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3R6BYFZZP7CG5OJF1V5G8158U1JXFF,A16M46MK3XDRCL,Approved,"Mon Jun 23 20:09:46 PDT 2014","Mon Jun 23 20:32:55 PDT 2014",0.39,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3KMS4QQVK2QALOK82CQRI7X6YS8KFH,A19H6XXGBK1IVI,Approved,"Mon Jun 23 20:27:20 PDT 2014","Mon Jun 23 20:44:50 PDT 2014",0.44,"Fairly long hit because of having to wait between screens. I think there has to be a wait time but maybe half or one second shorter?
Main strategy was trying to spot if any of the symbols were different.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3V0Z7YWSIY040528DLPR0XEY5MAV2U,A31RMITN4K8YU7,Approved,"Mon Jun 23 20:28:43 PDT 2014","Mon Jun 23 20:49:19 PDT 2014",0.31,"  I did not have any strategies. I just click A if the target was present and L if 
it was not present sometimes even if my mind says click A my body will click the opposite.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3O6CYIULED1QZ6BFMF4TSIS4VMWUWM,A3PN17H3QT51O,Approved,"Mon Jun 23 20:28:21 PDT 2014","Mon Jun 23 20:49:42 PDT 2014",0.35,I would just scan over quickly for a piece to look out of place some of them (the circles) really stuck out) with like the T's I looked at just the vertical lines.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3BWI6RSP7G9UKVDSO7HCWK7KG7UE7O,ABRVFWZ1CW2ZF,Approved,"Mon Jun 23 20:28:22 PDT 2014","Mon Jun 23 20:50:38 PDT 2014",0.33,  Sucks that I made a good few dumb mistakes!  :),Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NAPMVF0ZWF2PF1CVNMBUJYVJ4427A,A1OVJ0QM9WF8DB,Approved,"Mon Jun 23 20:33:35 PDT 2014","Mon Jun 23 20:53:15 PDT 2014",0.36,"  after a while you tell if an inverted symbol was there, in periphery",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3AMW0RGHOD2NK7U5DSECMTSEUT0PNU,A8V4K61KQLCRD,Approved,"Mon Jun 23 20:27:27 PDT 2014","Mon Jun 23 20:55:59 PDT 2014",0.28,  ,Complete HIT,
